SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle
874858.0,0.0,0.0,0.0,0.0,0.0
679260.0,0.0,0.0,0.0,0.0,0.0
258256.5,0.0,0.0,0.0,0.0,0.0
411784.0,0.0,0.0,0.0,0.0,0.0
234051.0,0.0,0.0,0.0,0.0,0.0
454366.0,0.0,0.0,0.0,0.0,0.0
276992.5,0.0,0.0,0.0,0.0,0.0
643898.0,0.0,0.0,0.0,0.0,0.0
785001.5,0.0,0.0,0.0,0.0,0.0
270724.5,0.0,0.0,0.0,0.0,0.0
686950.0,0.0,0.0,0.0,0.0,0.0
436173.5,0.0,0.0,0.0,0.0,0.0
223428.5,0.0,0.0,0.0,0.0,0.0
253249.0,0.0,0.0,0.0,0.0,0.0
391636.5,0.0,0.0,0.0,0.0,0.0
852972.5,0.0,0.0,0.0,0.0,0.0
321063.0,0.0,0.0,0.0,0.0,0.0
481166.635328,0.0,0.0,0.0,0.0,0.0
302920.5,0.0,0.0,0.0,0.0,0.0
277237.0,0.0,0.0,0.0,0.0,0.0
888687.5,0.0,0.0,0.0,0.0,0.0
202636.5,0.0,0.0,0.0,0.0,0.0
575717.5,0.0,0.0,0.0,0.0,0.0
354983.0,0.0,0.0,0.0,0.0,0.0
274913.0,0.0,0.0,0.0,0.0,0.0
810636.5,0.0,0.0,0.0,0.0,0.0
371320.5,0.0,0.0,0.0,0.0,0.0
373872.0,0.0,0.0,0.0,0.0,0.0
428490.5,0.0,0.0,0.0,0.0,0.0
292194.0,0.0,0.0,0.0,0.0,0.0
254860.0,0.0,0.0,0.0,0.0,0.0
711500.3133861601,0.0,0.0,0.0,0.0,0.0
902508.5,0.0,0.0,0.0,0.0,0.0
256494.0,0.0,0.0,0.0,0.0,0.0
303923.5,0.0,0.0,0.0,0.0,0.0
512377.5,0.0,0.0,0.0,0.0,0.0
324933.0,0.0,0.0,0.0,0.0,0.0
299930.940005,0.0,0.0,0.0,0.0,0.0
284600.5,0.0,0.0,0.0,0.0,0.0
316839.5,0.0,0.0,0.0,0.0,0.0
244298.0,0.0,0.0,0.0,0.0,0.0
284829.74239,0.0,0.0,0.0,0.0,0.0
613974.0,0.0,0.0,0.0,0.0,0.0
305794.5,0.0,0.0,0.0,0.0,0.0
766619.0,0.0,0.0,0.0,0.0,0.0
1521324.0,0.0,0.0,0.0,0.0,0.0
610424.0,0.0,0.0,0.0,0.0,0.0
286286.059270196,0.0,0.0,0.0,0.0,0.0
372890.0,0.0,0.0,0.0,0.0,0.0
487819.07132550003,0.0,0.0,0.0,0.0,0.0
248852.0,0.0,0.0,0.0,0.0,0.0
620609.5,0.0,0.0,0.0,0.0,0.0
231952.0,0.0,0.0,0.0,0.0,0.0
1481832.5,0.0,0.0,0.0,0.0,0.0
336249.0,0.0,0.0,0.0,0.0,0.0
333404.5,0.0,0.0,0.0,0.0,0.0
305074.944448876,0.0,0.0,0.0,0.0,0.0
796030.5,0.0,0.0,0.0,0.0,0.0
399904.0,0.0,0.0,0.0,0.0,0.0
266608.0,0.0,0.0,0.0,0.0,0.0
290706.0,0.0,0.0,0.0,0.0,0.0
498042.894226164,0.0,0.0,0.0,0.0,0.0
364704.5,0.0,0.0,0.0,0.0,0.0
488715.5,0.0,0.0,0.0,0.0,0.0
400702.0,0.0,0.0,0.0,0.0,0.0
1521316.0,0.0,0.0,0.0,0.0,0.0
803906.5,0.0,0.0,0.0,0.0,0.0
276992.5,0.0,0.0,0.0,0.0,0.0
284857.0,0.0,0.0,0.0,0.0,0.0
332703.0,0.0,0.0,0.0,0.0,0.0
428120.0,0.0,0.0,0.0,0.0,0.0
623822.5,0.0,0.0,0.0,0.0,0.0
268407.5,0.0,0.0,0.0,0.0,0.0
448514.0,0.0,0.0,0.0,0.0,0.0
310487.0,0.0,0.0,0.0,0.0,0.0
1731885.0,0.0,0.0,0.0,0.0,0.0
588139.5,0.0,0.0,0.0,0.0,0.0
803973.5,0.0,0.0,0.0,0.0,0.0
270858.051349896,0.0,0.0,0.0,0.0,0.0
362337.0,0.0,0.0,0.0,0.0,0.0
453210.5,0.0,0.0,0.0,0.0,0.0
321063.0,0.0,0.0,0.0,0.0,0.0
592881.0,0.0,0.0,0.0,0.0,0.0
1801872.5,0.0,0.0,0.0,0.0,0.0
745779.0,0.0,0.0,0.0,0.0,0.0
289719.0,0.0,0.0,0.0,0.0,0.0
583259.580929884,0.0,0.0,0.0,0.0,0.0
728801.7918779,0.0,0.0,0.0,0.0,0.0
289833.0,0.0,0.0,0.0,0.0,0.0
261419.5,0.0,0.0,0.0,0.0,0.0
742811.0,0.0,0.0,0.0,0.0,0.0
428490.5,0.0,0.0,0.0,0.0,0.0
293937.5,0.0,0.0,0.0,0.0,0.0
277892.0,0.0,0.0,0.0,0.0,0.0
576225.0,0.0,0.0,0.0,0.0,0.0
423295.0,0.0,0.0,0.0,0.0,0.0
1810997.0,0.0,0.0,0.0,0.0,0.0
511806.5,0.0,0.0,0.0,0.0,0.0
373002.0,0.0,0.0,0.0,0.0,0.0
250984.5,0.0,0.0,0.0,0.0,0.0
512647.0,0.0,0.0,0.0,0.0,0.0
272913.0,0.0,0.0,0.0,0.0,0.0
309631.459315,0.0,0.0,0.0,0.0,0.0
455232.0,0.0,0.0,0.0,0.0,0.0
326211.0,0.0,0.0,0.0,0.0,0.0
650663.0,0.0,0.0,0.0,0.0,0.0
1539115.0,0.0,0.0,0.0,0.0,0.0
689442.5,0.0,0.0,0.0,0.0,0.0
259054.8131275,0.0,0.0,0.0,0.0,0.0
718743.0,0.0,0.0,0.0,0.0,0.0
274163.0,0.0,0.0,0.0,0.0,0.0
271608.5,0.0,0.0,0.0,0.0,0.0
554125.0,0.0,0.0,0.0,0.0,0.0
324894.5,0.0,0.0,0.0,0.0,0.0
331484.5,0.0,0.0,0.0,0.0,0.0
635614.5,0.0,0.0,0.0,0.0,0.0
727502.0,0.0,0.0,0.0,0.0,0.0
619772.5,0.0,0.0,0.0,0.0,0.0
811320.0,0.0,0.0,0.0,0.0,0.0
725727.5,0.0,0.0,0.0,0.0,0.0
324293.5,0.0,0.0,0.0,0.0,0.0
364559.5,0.0,0.0,0.0,0.0,0.0
802578.5,0.0,0.0,0.0,0.0,0.0
268472.0,0.0,0.0,0.0,0.0,0.0
