nld,ld,cycles
0.0025215970270094923,0.00032474189587320583,0.0
0.0049577245436271955,0.0006494837917464117,0.0
0.0049577245436271955,0.0006494837917464117,0.0
0.0018100092175895588,0.00023195849705228992,0.0
0.0026984008819576077,0.00034793774557843486,0.0
0.0,0.0,0.0
0.00036558918530438245,4.6391699410457986e-05,0.0
0.0009105941269512696,0.00011597924852614496,0.0
0.004442725559869798,0.0005798962426307247,0.0
0.003923921600864633,0.0005103086935150378,0.0
0.002344357158882926,0.0003015460461679769,0.0
0.0014515746577477007,0.00018556679764183194,0.0
0.001988564483401567,0.0002551543467575189,0.0
0.005128550836881018,0.0006726796414516407,0.0
0.0028747699443596453,0.0003711335952836639,0.0
0.005128550836881018,0.0006726796414516407,0.0
0.0026984008819576077,0.00034793774557843486,0.0
0.0010913664569905945,0.00013917509823137394,0.0
0.0005477067482491105,6.958754911568697e-05,0.0
0.005298959071552201,0.0006958754911568697,0.0
0.0030507054314269366,0.0003943294449888928,0.0
0.0028747699443596453,0.0003711335952836639,0.0
0.005298959071552201,0.0006958754911568697,0.0
0.0021666800535148356,0.0002783501964627479,0.0
0.0016310130216659058,0.00020876264734706092,0.0
0.0040972810069827,0.0005335045432202668,0.0
0.0025215970270094923,0.00032474189587320583,0.0
0.00461481308367373,0.0006030920923359538,0.0
0.0007293746424963388,9.278339882091597e-05,0.0
0.0012716928844728193,0.00016237094793660292,0.0
0.004786479018190848,0.0006262879420411827,0.0
0.005468950417950813,0.0007190713408620987,0.0
0.004270215263255994,0.0005567003929254958,0.0
0.0030507054314269366,0.0003943294449888928,0.0
0.005468950417950813,0.0007190713408620987,0.0
0.002344357158882926,0.0003015460461679769,0.0
0.0018100092175895588,0.00023195849705228992,0.0
0.003226208556959209,0.00041752529469412183,0.0
0.0009105941269512696,0.00011597924852614496,0.0
0.0014515746577477007,0.00018556679764183194,0.0
0.0026984008819576077,0.00034793774557843486,0.0
0.005638526043107661,0.0007422671905673278,0.0
0.0025215970270094923,0.00032474189587320583,0.0
0.0049577245436271955,0.0006494837917464117,0.0
0.005638526043107661,0.0007422671905673278,0.0
0.001988564483401567,0.0002551543467575189,0.0
0.003226208556959209,0.00041752529469412183,0.0
0.004442725559869798,0.0005798962426307247,0.0
0.0028747699443596453,0.0003711335952836639,0.0
0.0016310130216659058,0.00020876264734706092,0.0
0.0010913664569905945,0.00013917509823137394,0.0
0.003401280531354245,0.0004407211443993508,0.0
0.005807687110781612,0.0007654630402725567,0.0
0.005807687110781612,0.0007654630402725567,0.0
0.003401280531354245,0.0004407211443993508,0.0
0.005128550836881018,0.0006726796414516407,0.0
0.0026984008819576077,0.00034793774557843486,0.0
0.0021666800535148356,0.0002783501964627479,0.0
0.00461481308367373,0.0006030920923359538,0.0
0.0030507054314269366,0.0003943294449888928,0.0

0.0012716928844728193,0.00016237094793660292,0.0
0.0018100092175895588,0.00023195849705228992,0.0
0.002344357158882926,0.0003015460461679769,0.0
0.005298959071552201,0.0006958754911568697,0.0
0.0028747699443596453,0.0003711335952836639,0.0
0.0035759225616174284,0.00046391699410457983,0.0
0.004786479018190848,0.0006262879420411827,0.0
0.0037501358513711835,0.0004871128438098088,0.0
0.0014515746577477007,0.00018556679764183194,0.0
0.003226208556959209,0.00041752529469412183,0.0
0.0059764347814710295,0.0007886588899777856,0.0
0.0059764347814710295,0.0007886588899777856,0.0
0.0025215970270094923,0.00032474189587320583,0.0
0.005468950417950813,0.0007190713408620987,0.0
0.0037501358513711835,0.0004871128438098088,0.0
0.0030507054314269366,0.0003943294449888928,0.0
0.0049577245436271955,0.0006494837917464117,0.0
0.003401280531354245,0.0004407211443993508,0.0
0.003923921600864633,0.0005103086935150378,0.0
0.0016310130216659058,0.00020876264734706092,0.0
0.0021666800535148356,0.0002783501964627479,0.0
0.0026984008819576077,0.00034793774557843486,0.0
0.005128550836881018,0.0006726796414516407,0.0
0.006144770212420769,0.0008118547396830147,0.0
0.006144770212420769,0.0008118547396830147,0.0
0.003226208556959209,0.00041752529469412183,0.0
0.0035759225616174284,0.00046391699410457983,0.0
