,Vestavind (NO),Nordsøen Midt (DK),Thetys HPP (NL),Sud Atlantique HPP (FRw),Golfe du Lion (FRs),Sicily South (IT)
DSCR [-] (P90),0.9,1.2,1.0,0.8,1.0,0.7
DSCR Breach Years (P90),25.0,0.0,0.0,0.0,0.0,25.0
Debt Headroom [MEuro] (P90),-215.1,16.4,-157.3,-300.1,-140.7,-363.6
Debt Headroom [% of CAPEX] (P90),-18.2,1.4,-12.1,-21.4,-11.8,-29.7
