,Vestavind (NO),Nordsøen Midt (DK),Thetys HPP (NL),Sud Atlantique HPP (FRw),Golfe du Lion (FRs),Sicily South (IT)
Mean NPV [M€],-346.97,-73.76,-315.87,-446.68,-221.91,-523.26
Mean NPV/CAPEX [%],-29.29,-6.22,-24.33,-31.91,-18.64,-42.68
Mean IRR [%],2.82,5.28,3.29,2.34,3.96,0.95
