,Vestavind (NO),Nordsøen Midt (DK),Thetys HPP (NL),Sud Atlantique HPP (FRw),Golfe du Lion (FRs),Sicily South (IT)
DSCR [-] (Mean),1.0,1.4,1.1,1.0,1.2,0.8
DSCR Breach Years (Mean),22.8,1.5,20.6,21.3,15.4,24.3
Debt Headroom [MEuro] (Mean),-109.6,125.2,-75.5,-176.2,-1.6,-268.8
Debt Headroom [% of CAPEX] (Mean),-9.2,10.6,-5.8,-12.6,-0.1,-21.9
