,Vestavind (NO),Nordsøen Midt (DK),Thetys HPP (NL),Sud Atlantique HPP (FRw),Golfe du Lion (FRs),Sicily South (IT)
P90 NPV [M€],-469.84,-200.24,-412.05,-593.24,-383.95,-636.33
P90 NPV/CAPEX [%],-39.66,-16.89,-31.74,-42.38,-32.25,-51.91
P90 IRR [%],1.59,4.22,2.46,1.1,2.5,-0.25
