Year,NPV,NPV vs Mean (%),NPV/CAPEX,NPV/CAPEX vs Mean (%),IRR,IRR vs Mean (%)
Best (1985),-154.61445580358642,-48.29468529124076,-0.2010578196440269,-48.29468529124078,3.32011733545938,187.07025133856567
Mean,-299.03010294876646,0.0,-0.38885329443699607,0.0,1.156552209773799,0.0
Worst (1999),-386.62665784697606,29.29355741592937,-0.5027622575066303,29.29355741592934,-0.31756097363531,-127.45755625657567
