Year,NPV,NPV vs Mean (%),NPV/CAPEX,NPV/CAPEX vs Mean (%),IRR,IRR vs Mean (%)
Best (2010),-20.156864340300448,-93.57527256125866,-0.017013614393377,-93.57527256125864,5.748293261215149,84.2606997381048
Mean,-313.73882444808186,0.0,-0.26481457082185733,0.0,3.1196523563545395,0.0
Worst (2008),-498.4811125367887,58.88410158153008,-0.4207482517072928,58.88410158153011,1.2806815382985801,-58.94794060338452
