SM,dis_SM,cha_SM,w_SM,RT,Ref,dis_RT,cha_RT
0.13491,0,0,0.13491,0.13462500000000002,0.13491,0.0,-2.7755575615628914e-17
0.134895,0,0,0.134895,0.13443000000000002,0.134895,0.0,-2.7755575615628914e-17
0.134715,0,0,0.134715,0.133395,0.134715,0.0,-2.7755575615628914e-17
0.134715,0,0,0.134715,0.13359000000000001,0.134715,0.0,-2.7755575615628914e-17
0.13485,0,0,0.13485,0.13452000000000003,0.13485,0.0,-2.7755575615628914e-17
0.13486499999999998,0,0,0.13486499999999998,0.13461,0.13486499999999998,0.0,-2.7755575615628914e-17
0.13497,0,0,0.13497,0.13494,0.13497,0.0,-2.7755575615628914e-17
0.134985,0,0,0.134985,0.134985,0.134985,0.0,-2.117582368135751e-22
0.134985,0,0,0.134985,0.134985,0.134985,0.0,-2.117582368135751e-22
23.553810000000002,0,0,0.13493999999999998,51.17378917948717,23.553810000000002,0.0,8.20512820512821e-07
175.06138500000003,0,0,0.13493999999999998,242.100135,175.06138500000003,-2.2773805633336554e-22,0.0
239.15041500000004,0,0,0.134925,419.08242,239.15041500000004,-2.2773805633336554e-22,0.0
500.0,0,0,0.0,404.06568078800007,500.0,7.880000000000003e-07,0.0
468.60087000000004,0,0,0.134085,401.1157050000001,468.60087000000004,0.0,-1.1368683772161603e-13
430.521705,0,0,0.13293,341.763705,430.521705,0.0,-5.684341886080802e-14
250.14075000000003,0,0,0.130905,184.08744000000004,250.14075000000003,0.0,-2.842170943040401e-14
0.13422,0,0,0.13422,25.42748917948718,0.13422,0.0,8.20512820512821e-07
0.13074,0,0,0.13074,0.11823078800000003,0.13074,7.880000000293208e-07,0.0
0.11445,0,0,0.11445,0.08599500000000002,0.11445,0.0,-1.3877787807814457e-17
0.07965,0,0,0.07965,0.042870000000000005,0.07965,0.0,-6.938893903907228e-18
0.020654999999999996,0,0,0.020654999999999996,0.019185000000000004,0.020654999999999996,0.0,-3.469446951953614e-18
0.013574999999999999,0,0,0.013574999999999999,0.011970000000000003,0.013574999999999999,0.0,-3.469446951953614e-18
0.049575,0,0,0.049575,0.04035000000000001,0.049575,0.0,-6.938893903907228e-18
0.074685,0,0,0.074685,0.05772000000000001,0.074685,0.0,-1.3877787807814457e-17
0.08461500000000001,0,0,0.08461500000000001,0.051150000000000015,0.08461500000000001,0.0,-1.3877787807814457e-17
0.11291999999999999,0,0,0.11291999999999999,0.07611000000000001,0.11291999999999999,0.0,-1.3877787807814457e-17
0.12852,0,0,0.12852,0.10830000000000002,0.12852,0.0,-2.7755575615628914e-17
0.13160999999999998,0,0,0.13160999999999998,0.12507000000000001,0.13160999999999998,0.0,-2.7755575615628914e-17
0.134415,0,0,0.134415,0.13284000000000004,0.134415,0.0,-2.7755575615628914e-17
0.13476,0,0,0.13476,0.13399500000000003,0.13476,0.0,-2.7755575615628914e-17
0.13443,0,0,0.13443,0.13374000000000003,0.13443,0.0,-2.7755575615628914e-17
0.13244999999999998,0,0,0.13244999999999998,0.13273418003590867,0.13244999999999998,0.0,8.19964091331407e-07
0.13488,0,0,0.13488,0.13050078747301425,0.13488,7.874730142409803e-07,0.0
0.13477499999999998,0,0,0.13477499999999998,3.8815941800359086,0.13477499999999998,0.0,8.19964091331407e-07
25.162575000000004,0,0,0.13477499999999998,23.18440578747302,25.162575000000004,7.874730165724486e-07,0.0
146.45778,0,0,0.134535,53.119425000000014,146.45778,0.0,-1.4210854715202004e-14
226.92690000000002,0,0,0.06777,84.027555,226.92690000000002,0.0,-1.4210854715202004e-14
96.670755,0,0,0.04556999999999789,92.76336000000002,96.670755,0.0,-1.4210854715202004e-14
81.727275,0,0,0.029384999999999998,76.91847000000001,81.727275,0.0,-1.4210854715202004e-14
71.708895,0,0,0.022125,62.69322000000001,71.708895,0.0,-1.4210854715202004e-14
0.40662000000000004,0,0,0.04908,13.175159180035909,0.40662000000000004,0.0,8.19964091331407e-07
0.06805499999999999,0,0,0.06805499999999999,0.056205787473014225,0.06805499999999999,7.874730142271025e-07,0.0
