,Sud Atlantique,Mid-Europe,North-South Europe,All Sites,Best Sites
Mean NPV [M€],-308.11,-581.09,-943.82,-1142.57,-20.28
Mean NPV/CAPEX [%],-22.01,-14.94,-24.77,-15.27,-0.85
Mean IRR [%],3.47,4.28,3.19,4.22,5.78
