Site,site_id,NPV Std Dev,Mean NPV,Mean NPV/CAPEX,Mean IRR
Sud Atlantique,Sud_Atlantique,150.37325419839027,-308.11420706628047,-22.009767190423567,3.4671218202974923
Mid-Europe,MidEurope,395.23079436785775,-581.0935631472735,-14.943278281009324,4.277079208837154
North-South Europe,NorthSouth,331.59293936137277,-943.8219314116766,-24.768805094888233,3.1852112188603963
All Sites,All,683.3156955100702,-1142.5698776966642,-15.265350500146788,4.221736405043566
Best Sites,Best,289.0824383023908,-20.279380047339302,-0.8534672775583014,5.776276737139845
