,Sud Atlantique,Mid-Europe,North-South Europe,All Sites,Best Sites
NPV IQR [M€],171.06,489.25,240.04,675.85,337.43
NPV/CAPEX IQR [%],12.22,12.58,6.3,9.03,14.2
IRR IQR [%],1.36,1.32,0.73,0.95,1.4
