Site,site_id,NPV Std Dev,Mean NPV,Mean NPV/CAPEX,Mean IRR
Thetys HiFiEMS (NL),Thetys_HiFiEMS,91.68896759172597,-178.4685662377427,-13.748616074599578,4.418901920557876
Thetys Offshore HiFiEMS (NL),Thetys_Offshore_HiFiEMS,92.77232019430305,-177.11831553488912,-13.644597317070795,4.429259138392292
