,Vestavind (NO),Nordsøen Midt (DK),Thetys HPP (NL),Sud Atlantique HPP (FRw),Golfe du Lion (FRs),Sicily South (IT)
P90 NPV [M€],-347.37,-56.71,-273.78,-453.64,-260.0,-527.66
P90 NPV/CAPEX [%],-29.32,-4.78,-21.09,-32.41,-21.84,-43.04
P90 IRR [%],2.85,5.45,3.66,2.33,3.68,0.97
