Year,NPV,NPV vs Mean (%),NPV/CAPEX,NPV/CAPEX vs Mean (%),IRR,IRR vs Mean (%)
Best (2010),29.07582929182773,109.43670516483944,0.0207699683722783,109.43670516483941,5.92969728404293,71.02650530849064
Mean,-308.11420706628047,0.0,-0.2200976719042357,0.0,3.467121820297493,0.0
Worst (2008),-512.0589802435506,-66.19129157306214,-0.36578316365989,-66.19129157306213,1.83199291566491,-47.16098797163933
Difference (Best - Worst),541.1348095353784,175.62799673790158,0.3865531320321683,175.62799673790153,4.09770436837802,118.18749328012998
