Metric,Q1 (25th),Q2 Median,Q3 (75th),IQR (Q3-Q1),IQR % of Median
NPV [MEuro],-435.9556536209292,-340.2789463711663,-264.89864857269106,171.05700504823812,50.26964109076973
NPV/CAPEX [%],-31.14196691190383,-24.30741659316245,-18.922715832082847,12.219251079820982,50.26964109076977
IRR [%],2.484010264951905,3.2584845490798346,3.841630019083332,1.3576197541314272,41.66414582247463
