Year,NPV,NPV vs Mean (%),NPV/CAPEX,NPV/CAPEX vs Mean (%),IRR,IRR vs Mean (%)
Best (1985),401.5604070319935,440.9575382382167,0.3387447636646867,440.9575382382167,8.92404808740938,37.69732086904583
Mean,74.23140979600545,0.0,0.0626194737516564,0.0,6.480916281513139,0.0
Worst (1999),-86.28758426938586,-216.24133841255593,-0.0727897143958245,-216.24133841255585,5.20169993624142,-19.73820197185223
Difference (Best - Worst),487.84799130137935,657.1988766507725,0.4115344780605112,657.1988766507725,3.72234815116796,57.43552284089807
