Metric,Q1 (25th),Q2 Median,Q3 (75th),IQR (Q3-Q1),IQR % of Median
NPV [MEuro],-507.6181997093944,-444.6316943618775,-383.0011255070366,124.6170742023578,28.02703356116001
NPV/CAPEX [%],-41.40847456448341,-36.270409959862256,-31.242954592262496,10.165519972220915,28.02703356116001
IRR [%],1.1862269257559577,1.8321042828971048,2.429416005034505,1.2431890792785474,67.85580334503086
