Portfolio,Mean NPV [M€],NPV CV,Mean NPV/CAPEX [%],NPV/CAPEX CV,Mean IRR [%],Mean Revenue [M€],Revenue CV
All,-1142.56987769644,0.5980515580260253,-15.265350500143796,0.5980515580260253,4.221736405043939,643.3555722744759,0.08484549953577207
MidEurope,-581.0935631473702,0.6801500127227638,-14.94327828101181,0.6801500127227641,4.277079208836902,335.2556524578827,0.09419783518089439
NorthSouth,-649.2333306567607,0.5882765311488793,-17.03481656033862,0.5882765311488795,3.953500225893413,320.5993828725112,0.09469253883701019
Sud_Atlantique,-308.1142070662886,0.4880438835656676,-22.00976719042415,0.4880438835656677,3.4671218202974328,112.0954553830555,0.10625218239170789
