Site;Latitude;Longitude;Air_Temp_Min;Air_Temp_Max;Air_Temp_Mean;Air_Temp_Std;Sea_Temp_Min;Sea_Temp_Max;Sea_Temp_Mean;Sea_Temp_Std
Golfe_du_Lion;43.012;4.294;-2.0449;29.1911;15.789986569298952;4.794106869333972;11.29535;22.914553;16.767607;3.8362455
NordsoenMidt;56.0219;7.5329;-10.5021;23.6021;9.446596020010743;5.11997031991934;2.4387841;17.71308;10.206897;5.155817
SicilySouth;37.159;13.21;5.3678;30.1958;18.312233462261617;4.674963339587675;14.248405;25.716978;19.727308;4.1179457
Sud_Atlantique;45.8912;-1.7802;-5.2445;27.6646;13.797028186946012;4.52781395164378;9.395919;20.745213;14.9925;3.8939836
Thetys;52.542;4.193;-8.5617;25.1541;10.641770575812517;5.017166470953876;3.9906373;18.490469;11.234223;4.9643664
Vestavind;60.337;4.484;-6.883;21.267;8.403984409750201;4.017143334051798;3.49243;15.444377;9.715732;4.034413
