site,scenario_id,parameter_group,level,n_weather_years,NPV [MEuro] mean,NPV [MEuro] std,NPV [MEuro] p10,NPV [MEuro] p50,NPV [MEuro] p90,NPV_over_CAPEX mean,NPV_over_CAPEX std,NPV_over_CAPEX p10,NPV_over_CAPEX p50,NPV_over_CAPEX p90,IRR mean,IRR std,IRR p10,IRR p50,IRR p90,LCOE [Euro/MWh] mean,LCOE [Euro/MWh] std,LCOE [Euro/MWh] p10,LCOE [Euro/MWh] p50,LCOE [Euro/MWh] p90,Revenues [MEuro] mean,Revenues [MEuro] std,Revenues [MEuro] p10,Revenues [MEuro] p50,Revenues [MEuro] p90,LLCR [-] mean,LLCR [-] std,LLCR [-] p10,LLCR [-] p50,LLCR [-] p90
Sud_Atlantique_HiFiEMS,baseline,baseline,1.0,34,-1000.9214708904738,147.2763934785356,-1156.2170147499305,-1029.5475242562197,-768.0596932909607,-0.7149961944291853,0.10520511741318313,-0.8259296953086687,-0.7354448707872079,-0.5486541889334455,-0.0390865105264008,0.02118965812501171,-0.06473110582055128,-0.040846346885932194,-0.006589600988173797,60.4412129814369,1.9338258038565181,58.57385779181158,60.682298841548814,62.66508470628119,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.41193782816626046,0.1521427194535992,0.2514996849624521,0.3823552884902472,0.6525387134371565
Sud_Atlantique_HiFiEMS,electricity_price_x0.75,electricity_price,0.75,34,-1170.2485863280572,111.86682706156395,-1289.171071202476,-1189.1560712692844,-995.8687247592483,-0.8359529794243504,0.07991072022935787,-0.9209038238113983,-0.8494593135098581,-0.7113868261017889,-0.07251908807112656,0.02503583884776251,-0.10498170241200058,-0.07251272174908963,-0.03553200104348639,59.04145464902584,1.8281434418335278,57.23262695888187,59.19824457068164,61.057042435519314,43.86046224905862,8.857983245874491,34.440905497625245,42.366252094259224,57.671849813051594,0.2371165163616541,0.11555411834431964,0.11423656215615138,0.21762425358960724,0.41728875972328056
Sud_Atlantique_HiFiEMS,electricity_price_x0.80,electricity_price,0.8,34,-1145.7359945424644,117.82004868497415,-1269.9717817112637,-1168.6394400858576,-959.4497862981572,-0.8184427047904151,0.08416333237638776,-0.9071890426610367,-0.8348035051919422,-0.6853713961583542,-0.06655035345925553,0.02413075673859999,-0.0971170700664787,-0.0675170144601277,-0.030251097023939504,60.4412129814369,1.9338258038565181,58.57385779181158,60.682298841548814,62.66508470628119,45.799850399874124,9.330107501132346,35.96097945819449,43.98548597980228,60.55451153054727,0.2624353930440093,0.12161129479314312,0.13420635880304332,0.23879564858171118,0.4546847929721977
Sud_Atlantique_HiFiEMS,electricity_price_x1.00,electricity_price,1.0,34,-1000.9214708904738,147.2763934785356,-1156.2170147499305,-1029.5475242562197,-768.0596932909607,-0.7149961944291853,0.10520511741318313,-0.8259296953086687,-0.7354448707872079,-0.5486541889334455,-0.0390865105264008,0.02118965812501171,-0.06473110582055128,-0.040846346885932194,-0.006589600988173797,60.4412129814369,1.9338258038565181,58.57385779181158,60.682298841548814,62.66508470628119,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.41193782816626046,0.1521427194535992,0.2514996849624521,0.3823552884902472,0.6525387134371565
Sud_Atlantique_HiFiEMS,electricity_price_x1.20,electricity_price,1.2,34,-856.1069472384424,176.7327383552949,-1042.4622477885978,-890.4556084265132,-576.6696002837642,-0.6115496840679266,0.1262469025094099,-0.744670347956301,-0.6360862363824243,-0.4119369817085368,-0.01891888520638811,0.02034952696970554,-0.04299352476865805,-0.021022751005379925,0.0125341991507216,60.4412129814369,1.9338258038565184,58.57385779181158,60.682298841548814,62.66508470628119,68.72348102540936,13.995372881329851,53.96507400138168,66.00245294584543,90.85610078456956,0.5614884669034209,0.18241970583300737,0.36914295778746214,0.5260356382907274,0.8498709264185667
Sud_Atlantique_HiFiEMS,electricity_price_x1.25,electricity_price,1.25,34,-819.9033163254504,184.09682458278414,-1014.0235560482644,-855.6826294689797,-528.8220770319653,-0.5856880564776233,0.13150734878939513,-0.7243555111182091,-0.611246577781152,-0.37775767990230974,-0.01452926357592614,0.02027746437617721,-0.038419376387616964,-0.016699192259690465,0.016852729644819674,60.4412129814369,1.9338258038565181,58.57385779181158,60.682298841548814,62.66508470628119,71.58893485360039,14.578531055312515,56.215585819280086,68.75457381660968,94.64379944132233,0.5988398472727549,0.1901797797638091,0.3982915120196096,0.5618650549743507,0.8995950504644807
Sud_Atlantique_HiFiEMS,electricity_price_x1.50,electricity_price,1.5,34,-638.8851617604131,220.9172557535837,-871.8300973465981,-681.8177346818254,-289.5844607729695,-0.45637991852605125,0.1578095802131471,-0.6227813269277492,-0.4870482847751576,-0.20686117087117378,0.0048861727857498595,0.02034951169236276,-0.018710612473236764,0.002430881610814839,0.03652167324695152,60.4412129814369,1.9338258038565181,58.57385779181158,60.682298841548814,62.66508470628119,85.9162039945618,17.494321927826515,67.46814490877208,82.51517817039156,113.58229272508626,0.7857418663792641,0.22821684014171087,0.5450833390767671,0.7413748214583684,1.146651387491805
Sud_Atlantique_HiFiEMS,electricity_price_x1.75,electricity_price,1.75,34,-457.86700719542523,257.7376869623764,-729.6366386449316,-507.9528398948201,-50.34684451397346,-0.32707178057451464,0.18411181166403895,-0.5212071427372893,-0.36284999176926963,-0.035964661840037604,0.021393452505174243,0.020843439183992573,-0.002507084727838926,0.018683558936327227,0.053885778415990515,60.4412129814369,1.9338258038565181,58.57385779181158,60.682298841548814,62.66508470628119,100.2434731355193,20.41011280330282,78.72070399826409,96.27578252416203,132.5207860088502,0.9726438854857223,0.2662539005582564,0.6918751661339251,0.9208845879422374,1.3937077245191294
Sud_Atlantique_HiFiEMS,electricity_price_x2.00,electricity_price,2.0,34,-276.8488526304103,294.55811819493306,-587.4431799432656,-334.087945107687,188.89077174502196,-0.19776364262295854,0.21041404313190634,-0.41963295854682975,-0.2386516987632903,0.13493184719109813,0.03602565075575479,0.02156517150477797,0.011511294403046591,0.033068412816756876,0.06970624045295183,60.4412129814369,1.9338258038565181,58.57385779181158,60.682298841548814,62.66508470628119,114.57074227647895,23.32590368063201,89.9732630877561,110.03638687794228,151.45927929261413,1.1595459045922087,0.3042909609989732,0.8386669931910827,1.1003943544262338,1.6407640615464536
Sud_Atlantique_HiFiEMS,grid_connection_x0.80,grid_connection,0.8,34,-950.3278048686864,147.23708667555485,-1105.5818954454198,-978.9462150745875,-717.5282122938785,-0.7043651654741924,0.1091293702960689,-0.8194365888708134,-0.7255765949799018,-0.5318184687383888,-0.03684318834487582,0.021394637467481343,-0.06271561173699605,-0.03863524199111823,-0.004023850365007589,58.68816307103816,1.8777367052936105,56.874969052017754,58.92225642513273,60.84753314319103,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.4274175826354608,0.15785992185742312,0.26095051250511886,0.3967233935321577,0.6770597415510838
