,Nordsøen Midt (DK),Thetys HPP (NL),Sud Atlantique HPP (FRw)
Mean NPV [M€],-665.73,-865.5,-1000.92
NPV CV,-0.2,-0.12,-0.15
Mean NPV/CAPEX [%],-56.16,-66.67,-71.5
Mean IRR [%],-0.01,-0.03,-0.04
