Site,site_id,NPV CV,Mean NPV,Mean NPV/CAPEX,Mean IRR
Nordsøen Midt (DK),NordsoenMidt_HiFiEMS,0.1972087326995601,-665.7283044558725,-56.15891736553349,-0.8611695033163946
Thetys HPP (NL),Thetys_HiFiEMS,0.12026609429870896,-865.4965692710839,-66.67493495151263,-2.744614999094295
Sud Atlantique HPP (FRw),Sud_Atlantique_HiFiEMS,0.14714080750761652,-1000.9214708904738,-71.49961944291852,-3.9086510526400766
